Priest	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Medician	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
FormerMunicipality	<http://nl.dbpedia.org/property/datumInwoners>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/populationAsOf>                
Device	<http://nl.dbpedia.org/property/introductie>                	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/releaseDate>                   
Swimmer	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Olympics	<http://nl.dbpedia.org/property/sluiting>                   	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/endDate>                       
MetroStation	<http://nl.dbpedia.org/property/open>                       	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/openingDate>                   
CityDistrict	<http://nl.dbpedia.org/property/inwJaar>                    	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/populationAsOf>                
Ship	<http://nl.dbpedia.org/property/schipKiellegging>           	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/layingDown>                    
MemberResistanceMovement	<http://nl.dbpedia.org/property/overleden>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
Film	<http://nl.dbpedia.org/property/premi\u00E8re>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/releaseDate>                   
TelevisionShow	<http://nl.dbpedia.org/property/einde>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/completionDate>                
Album	<http://nl.dbpedia.org/property/premi\u00E8re>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/releaseDate>                   
Software	<http://nl.dbpedia.org/property/uitgebracht>                	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/releaseDate>                   
Politician	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
SportsManager	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
TelevisionShow	<http://nl.dbpedia.org/property/uitzenddatum>               	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/releaseDate>                   
Athlete	<http://nl.dbpedia.org/property/overlijdensdatum>           	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
PoliticalParty	<http://nl.dbpedia.org/property/oprichting>                 	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/formationDate>                 
Person	<http://nl.dbpedia.org/property/gbdat>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Monarch	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Monarch	<http://nl.dbpedia.org/property/geboren>                    	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Wrestler	<http://nl.dbpedia.org/property/debuut>                     	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/debut>                         
Settlement	<http://nl.dbpedia.org/property/jaar>                       	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/populationAsOf>                
Professor	<http://nl.dbpedia.org/property/overlijdensdatum>           	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
OfficeHolder	<http://nl.dbpedia.org/property/geboren>                    	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Athlete	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Person	<http://nl.dbpedia.org/property/sterfdatum>                 	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
ProtectedArea	<http://nl.dbpedia.org/property/aangewezen>                 	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/activeYearsStartDate>          
Single	<http://nl.dbpedia.org/property/releasedatum>               	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/releaseDate>                   
SportFacility	<http://nl.dbpedia.org/property/opgericht>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/foundingDate>                  
Sculpture	<http://nl.dbpedia.org/property/jaar>                       	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/completionDate>                
Ship	<http://nl.dbpedia.org/property/schipGedoopt>               	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/christeningDate>               
Writer	<http://nl.dbpedia.org/property/overleden>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
Aircraft	<http://nl.dbpedia.org/property/eerstevlucht>               	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/introductionDate>              
CityDistrict	<http://nl.dbpedia.org/property/census>                     	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/populationAsOf>                
Pope	<http://nl.dbpedia.org/property/zaligverklaringDatum>       	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/beatifiedDate>                 
Song	<http://nl.dbpedia.org/property/opname>                     	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/recordDate>                    
Wrestler	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
